Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.9687779408693313,0.430625,1.4567976427078246,0.59
2,1.2575077205896377,0.64875,1.125212118625641,0.685625
3,0.9705398562550545,0.71875,1.0269383883476257,0.703125
4,0.802994679659605,0.7621875,0.951828783750534,0.725625
5,0.6896316145360469,0.798125,0.971131237745285,0.73625
6,0.5859954909235239,0.82453125,0.9390531003475189,0.74375
7,0.5061236914992332,0.8515625,0.9337801522016526,0.73625
8,0.42215186174958946,0.87484375,0.9630069130659104,0.75375
9,0.36814183458685873,0.89203125,0.9562256267666817,0.75625
10,0.30748436246067284,0.9078125,1.0035411024093628,0.755625
11,0.2531923269107938,0.92796875,1.0513772624731064,0.756875
12,0.22681278882548214,0.9340625,1.0813206148147583,0.7575
13,0.19915952341631055,0.94234375,1.1440937823057176,0.76125
14,0.1603801618050784,0.955625,1.1365442544221878,0.76
15,0.14926876628771424,0.95765625,1.1883742171525955,0.7575
16,0.14344093738123775,0.95828125,1.173691720366478,0.76125
17,0.1246138525987044,0.96640625,1.2412698078155517,0.75
18,0.10378161801956594,0.97015625,1.3390488189458847,0.7625
19,0.10870193218812346,0.97046875,1.3841297298669815,0.723125
20,0.08677899827016518,0.97625,1.3548425137996674,0.75
21,0.08932030155323446,0.97390625,1.3980775737762452,0.761875
22,0.08210412941407412,0.97671875,1.3793027460575105,0.753125
23,0.0703482274711132,0.98109375,1.3768275862932204,0.76125
24,0.06265823116758838,0.981875,1.4264631652832032,0.75875
25,0.04791525463224389,0.98890625,1.5255336451530457,0.755
26,0.05125523201655596,0.98625,1.5260665094852448,0.765625
27,0.04594420204055496,0.98703125,1.5858955353498458,0.754375
28,0.056053784334799274,0.98390625,1.5220644146203994,0.768125
29,0.05940397169440985,0.985625,1.545140340924263,0.763125
30,0.038854660360375416,0.98953125,1.498008027076721,0.768125
