Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.8364500871300697,0.46421875,1.2043653666973113,0.675
2,0.9879593172669411,0.71984375,0.9443450832366943,0.72375
3,0.7367969551682472,0.78046875,0.874222241640091,0.756875
4,0.5904356257617474,0.82,0.8076096719503403,0.75625
5,0.4697295301407576,0.85890625,0.8461865025758744,0.755625
6,0.38704107485711575,0.8775,0.886741743683815,0.765625
7,0.3113599429279566,0.90328125,0.9206249707937241,0.75375
8,0.2553687993995845,0.920625,0.9746952760219574,0.763125
9,0.2016919622477144,0.93640625,0.9708933973312378,0.764375
10,0.16747307002544404,0.946875,1.0494808262586595,0.751875
11,0.12962687224149705,0.96140625,1.172937183380127,0.75375
12,0.12807182067539544,0.96140625,1.2295311599969865,0.755
13,0.0970005565462634,0.9696875,1.2637531870603562,0.74
14,0.0925955312140286,0.971875,1.283303246498108,0.755625
15,0.06515427008271217,0.9803125,1.3058646363019943,0.75875
16,0.05145032314176205,0.9846875,1.3483876049518586,0.753125
17,0.05492730868863873,0.984375,1.4324227058887482,0.7475
18,0.05486146077746525,0.9825,1.4278932094573975,0.761875
19,0.051842678379034626,0.98546875,1.397684980034828,0.766875
20,0.04933275294431951,0.98484375,1.4766953831911087,0.75625
21,0.052157797128893436,0.98328125,1.4744511491060257,0.7525
22,0.03552447589521762,0.98953125,1.5360793524980545,0.75625
23,0.025981674180075062,0.99265625,1.5455849981307983,0.754375
24,0.022567765244457406,0.99421875,1.5820818823575973,0.75375
25,0.022693916867865482,0.993125,1.6075984966754913,0.748125
26,0.027689576521224807,0.99296875,1.647996460199356,0.7575
27,0.03602223036286887,0.99015625,1.5686992120742798,0.756875
28,0.03556047811318422,0.9903125,1.5518746821582317,0.76
29,0.03449135413742624,0.99015625,1.708955614566803,0.748125
30,0.030715425749658607,0.99,1.6098961651325225,0.756875
